checkpoint,mean_perplexity
100,1858.913350502411
200,2359.124920844841
300,2579.908022321176
10,1240.385617305912
110,2023.8640199229003
210,2511.985778276983
310,2579.5999101778116
20,1397.5717104040846
120,2198.4917295418454
220,2606.8048474436323
30,1451.5631852145693
130,2216.388445381163
230,2448.9481675763495
40,1580.3933962322565
140,2190.655459719018
240,2581.0970660576045
50,1569.2270023370916
150,2299.345913617962
250,2581.7798483875235
60,1710.341423381001
160,2236.7584579047675
260,2537.615834412324
70,1691.4768596290742
170,2211.066718226255
270,2526.9882365244835
80,1755.3777354499
180,2353.7251554292006
280,2574.595521596883
90,1882.2223741639698
190,2321.1487018483576
290,2595.023694860654
