checkpoint,mean_perplexity
100,1752.5806941340884
200,2214.9761150504905
300,2379.9496241926454
10,1168.1125033960393
110,1855.403692122438
210,2273.735142719905
310,2380.430484140867
20,1320.4371212702645
120,1958.4304420942308
220,2363.8009273610305
30,1357.5080632594595
130,2049.2920095195286
230,2382.774694356822
40,1440.5576137946225
140,2106.5405726557415
240,2373.6372096938476
50,1477.1635513996164
150,2049.9052552375565
250,2362.881993425151
60,1584.966139123739
160,2099.6369448247856
260,2366.4658061240475
70,1582.0164563062363
170,2148.1764995486515
270,2390.7045279566564
80,1667.500352956498
180,2160.376474499786
280,2392.792442056277
90,1693.806883592827
190,2233.3163637803386
290,2376.372516987374
